name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Wounded Knee,1.8,4,5.10a,['Trad'],,1,,,California,Valley of Kings,1,2,"['5.9', '5.11c', '5.11d']",
Mulholland Drive,2.5,2,5.11c,['Trad'],90,1,R,,California,Valley of Kings,2,1,"['5.9', '5.11d', '5.10a']",
Powered by Old English,3.8,4,5.11d,['Trad'],85,1,,,California,Valley of Kings,2,3,"['5.9', '5.11c', '5.10a']",
Waltz for Debby,1.3,4,5.10a,['Trad'],60,1,,,California,Valley of Kings,2,1,"['5.10b', '5.12a']",
Firewater Chimney,3.7,35,5.10b,['Trad'],90,1,,,California,Valley of Kings,11,11,"['5.12a', '5.10a']",
The Last Stand,3.8,6,5.12a,['Sport'],90,1,,,California,Valley of Kings,1,4,"['5.10b', '5.10a']",
The Balloon That Would Not Die,2.0,2,5.7,['Trad'],220,2,,,California,Valley of Kings,1,2,"['5.8', '5.10d', '5.10a']",
It's Good To Be King,1.7,3,5.8,['Trad'],70,1,,,California,Valley of Kings,2,2,"['5.7', '5.10d', '5.10a']",
The Sanga's On Fire,2.5,6,5.10a,['Trad'],160,2,,,California,Valley of Kings,2,6,"['5.7', '5.8', '5.10d']",
"King Of Jesters, Jester To Kings",1.5,2,5.10d,['Trad'],50,1,,,California,Valley of Kings,1,0,"['5.7', '5.8', '5.10a']",
Witch Hunt,2.9,11,5.10b,['Trad'],90,1,,,California,Valley of Kings,5,12,"['5.11a', '5.12d']",
Devil's Advocate,2.5,2,5.11a,['Trad'],90,1,,,California,Valley of Kings,3,1,"['5.12d', '5.10b']",
South of Heaven,4.0,4,5.12d,['Sport'],80,1,,,California,Valley of Kings,3,6,"['5.11a', '5.10b']",
Blues for the Red Sun,1.0,1,5.8,['Trad'],60,1,,,California,Valley of Kings,4,2,['5.12a'],
The Tomahawk,4.0,2,5.12a,['Trad'],200,2,,,California,Valley of Kings,3,3,['5.8'],
Eagle Talons,3.5,2,5.12a,['Sport'],90,1,,,California,Valley of Kings,2,10,[],
One Size Does Not Fit All,2.0,1,5.10b,['Trad'],60,1,,,California,Valley of Kings,1,0,"['5.10d', '5.11a']",
My Helmet is Bigger Than Your Helmet,2.0,1,5.10d,['Trad'],70,1,,,California,Valley of Kings,3,0,"['5.10b', '5.11a']",
White Noise,1.0,1,5.11a,['Trad'],60,1,,,California,Valley of Kings,1,0,"['5.10d', '5.10b']",
The Melon Cracker,2.0,1,5.10a,['Trad'],70,1,,,California,Valley of Kings,4,0,['5.11a'],
Alchemy,3.0,1,5.11a,['Trad'],60,1,,,California,Valley of Kings,3,0,['5.10a'],
211,1.5,2,5.10c,['Trad'],30,1,,,California,Valley of Kings,3,3,[],
Colocado Crack,1.0,1,5.10b,['Trad'],40,1,,,California,Valley of Kings,3,0,[],
Don't Eat the Worm,1.0,1,5.8,['Sport'],50,1,,,California,Valley of Kings,1,0,[],
Girl Power,0.9,21,5.0,['Sport'],40,1,,,California,Rattlesnake Canyon,3,1,"['5.2', '5.8', '5.10+', '5.10d', '5.13a', '5.11c', '5.12c', '5.11a', '5.13b', '5.13b', '5.9', '5.9-', '5.8', '5.8', '5.9']",
Baby Steps,1.2,22,5.2,['Sport'],40,1,,,California,Rattlesnake Canyon,5,7,"['5.8', '5.10+', '5.10d', '5.13a', '5.11c', '5.12c', '5.11a', '5.0', '5.13b', '5.13b', '5.9', '5.9-', '5.8', '5.8', '5.9']",
Stucco,2.2,6,5.8,['Sport'],40,1,,,California,Rattlesnake Canyon,1,0,"['5.2', '5.10+', '5.10d', '5.13a', '5.11c', '5.12c', '5.11a', '5.0', '5.13b', '5.13b', '5.9', '5.9-', '5.8', '5.8', '5.9']",
Slippery Slope,1.7,3,5.8,['Sport'],65,1,,,California,Rattlesnake Canyon,1,0,"['5.2', '5.10+', '5.10d', '5.13a', '5.11c', '5.12c', '5.11a', '5.0', '5.13b', '5.13b', '5.9', '5.9-', '5.8', '5.8', '5.9']",
Bad Water,1.7,10,5.8,['Trad'],40,1,,,California,Rattlesnake Canyon,1,0,"['5.2', '5.10+', '5.10d', '5.13a', '5.11c', '5.12c', '5.11a', '5.0', '5.13b', '5.13b', '5.9', '5.9-', '5.8', '5.8', '5.9']",
Pretty Woman,2.5,24,5.9-,['Sport'],40,1,,,California,Rattlesnake Canyon,1,2,"['5.2', '5.8', '5.10+', '5.10d', '5.13a', '5.11c', '5.12c', '5.11a', '5.0', '5.13b', '5.13b', '5.9', '5.8', '5.8', '5.9']",
Kat's Meow,2.3,11,5.9,['Sport'],70,1,,,California,Rattlesnake Canyon,3,0,"['5.2', '5.8', '5.10+', '5.10d', '5.13a', '5.11c', '5.12c', '5.11a', '5.0', '5.13b', '5.13b', '5.9-', '5.8', '5.8', '5.9']",
Wildman,2.3,7,5.9,['Sport'],80,1,,,California,Rattlesnake Canyon,3,2,"['5.2', '5.8', '5.10+', '5.10d', '5.13a', '5.11c', '5.12c', '5.11a', '5.0', '5.13b', '5.13b', '5.9-', '5.8', '5.8', '5.9']",
Boortemus,2.9,30,5.10+,['Trad'],35,1,,,California,Rattlesnake Canyon,10,10,"['5.2', '5.8', '5.10d', '5.13a', '5.11c', '5.12c', '5.11a', '5.0', '5.13b', '5.13b', '5.9', '5.9-', '5.8', '5.8', '5.9']",
Bourbon on Ice,2.1,7,5.10d,['Trad'],60,1,,,California,Rattlesnake Canyon,1,2,"['5.2', '5.8', '5.10+', '5.13a', '5.11c', '5.12c', '5.11a', '5.0', '5.13b', '5.13b', '5.9', '5.9-', '5.8', '5.8', '5.9']",
Finley's Crack,2.0,3,5.11a,['Trad'],50,1,,,California,Rattlesnake Canyon,4,2,"['5.2', '5.8', '5.10+', '5.10d', '5.13a', '5.11c', '5.12c', '5.0', '5.13b', '5.13b', '5.9', '5.9-', '5.8', '5.8', '5.9']",
The Cold Shoulder,1.0,3,5.11c,['Sport'],40,1,,,California,Rattlesnake Canyon,1,0,"['5.2', '5.8', '5.10+', '5.10d', '5.13a', '5.12c', '5.11a', '5.0', '5.13b', '5.13b', '5.9', '5.9-', '5.8', '5.8', '5.9']",
