,name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade,popularity,combined_difficulty,difficulty_sport_trad,number_near_grades,diff_nearby_grades,safety_numerical,commitment_numerical,aid_numerical
0,The High Road,2.8,26,V7,['Boulder'],25.0,1,,,Nevada,Red Spring Boul…,1,4,"['V3', 'V7', 'V1', 'V2', 'V9-', 'V7-', 'V5', 'V3', 'V2', 'V8', 'V2', 'V5-']",,2.7812908757236285,9,,12,2.5,,1,
3,Van Betten Arête,3.4,16,V3,['Boulder'],10.0,1,,,Nevada,Cube Area,2,1,[],,3.3349913908551745,5,,0,,,1,
4,Blue Steel Heat,3.0,1,V5,['Boulder'],15.0,1,,,California,S - Pocket Rock…,3,1,"['V0', 'V1', 'V1+', 'V4', 'V6', 'V1']",,2.6474268222689856,7,,6,2.833333333333333,,1,
6,Paul's Penis,1.0,2,V0,['Boulder'],18.0,1,,,California,Puppy Boulders,1,0,[],,1.4316178815126572,2,,0,,,1,
8,"Not So High, but High Enough",2.0,2,V0,['Boulder'],18.0,1,PG13,,California,Ice Cream Boulders,1,0,"['V1', 'V0', 'V2+', 'V1+', 'V-easy', 'V2']",,2.0982845481793237,2,,6,0.8333333333333335,1.0,1,
10,Problem F,0.5,2,V0-,['Boulder'],10.0,1,,,California,Alcove Area,0,0,"['V5+', 'V3', 'V0+', 'V2', 'V2', 'V3', 'V0+', 'V2']",,1.0982845481793237,2,,8,2.125,,1,
15,Problem A,1.0,1,V0+,['Boulder'],12.0,1,,,California,Outback Bouldering,0,0,"['V0', 'V-easy']",,1.6474268222689858,2,,2,0.5,,1,
17,High Heeled Sneakers,3.0,3,V5,['Boulder'],18.0,1,,,California,Cap Rock Boulde…,1,1,"['V3', 'V0', 'V-easy']",,2.823713411134493,7,,3,4.333333333333334,,1,
21,The Wasp Roof,2.0,3,V6,['Boulder'],6.0,1,,,California,Seam Area,1,2,[],,2.073713411134493,8,,0,,,1,
22,Roni Size,3.5,2,V4+,['Boulder'],13.0,1,,,Nevada,Stick Gully Bou…,1,0,['V2'],,3.0982845481793237,6,,1,2.0,,1,
24,Watermark,3.5,2,V5+,['Boulder'],12.0,1,,,Nevada,Lost Creek,1,0,[],,3.0982845481793237,7,,0,,,1,
28,Lynn Hill Memorial Face Problem,3.6,41,V4,['Boulder'],20.0,1,,,California,King Dome Area,4,8,"['V3', 'V-easy', 'V0', 'V2']",,3.5689250867747138,6,,4,3.0,,1,
31,"Turtle Face, Left",2.7,54,V1,['Boulder'],20.0,1,,,California,Turtle Rock Cir…,4,2,"['V4', 'V-easy', 'V-easy', 'V0', 'V0-', 'V2']",,2.692633702627963,3,,6,0.3333333333333335,,1,
34,Skatement,1.0,1,V6,['Boulder'],10.0,1,,,California,Bridalveil Boul…,0,0,"['V0', 'V0-', 'V3', 'V4', 'V6']",,1.6474268222689858,8,,5,3.4000000000000004,,1,
35,Mainland Temple of the Perfect Wave,2.0,2,V1+,['Boulder'],20.0,1,PG13,,California,AFPA Rock Area,0,0,"['V4', 'V4', 'V0-', 'V-easy', 'V1', 'V1', 'V1', 'V-easy', 'V5']",,2.0982845481793237,3,,9,0.5555555555555554,1.0,1,
36,Sun is Shining,1.0,4,V-easy,['Boulder'],11.0,1,,,California,Jimmy Cliff Area,1,0,"['V1', 'V0', 'V0-', 'V0-', 'V-easy', 'V-easy', 'V-easy', 'V3']",,1.2589707289075944,1,,8,1.125,,1,
38,Carrot Patch,2.0,1,V-easy,['Boulder'],12.0,1,,,California,Seam Area,0,0,[],,2.1474268222689856,1,,0,,,1,
40,Left Left,1.0,7,V0,['Boulder'],12.0,1,,,Nevada,Kraft Boulders,1,0,"['V2', 'V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",,1.1618567055672464,2,,19,4.157894736842105,,1,
42,The Perfect Nanny,1.0,1,V-easy,['Boulder'],12.0,1,,,California,Mary Poppins Bo…,1,0,['V0'],,1.6474268222689858,1,,1,1.0,,1,
45,"Blood, Sweat and Beers",1.8,4,V7,['Boulder'],14.0,1,,,California,Mad Max Area,1,1,['V8'],,1.8989707289075946,9,,1,1.0,,1,
46,Friction 101,2.2,13,V1,['Boulder'],11.0,1,,,California,Gunsmoke Area,3,0,['V0-'],,2.2067752603241413,3,,1,1.0,,1,
