name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
A Hearty Handful of Cheek,2.0,2,V0,['Boulder'],6,1,PG13,,California,Group Campsites Rd,1,0,[],
Gait of Power Traverse,2.0,1,V1,['Boulder'],20,1,,,California,Indian Cove Cam…,0,0,"['5.9', '5.10a', '5.11c', 'V1-2', '5.8-', '5.10a/b', '5.6', '5.3', '5.10a', '5.8', '5.9', '5.10a', '5.4', '5.8']",
Crack Alley,2.0,8,V1-2,['Boulder'],15,1,,,California,Indian Cove Cam…,3,0,"['5.9', '5.10a', '5.11c', '5.8-', '5.10a/b', 'V1', '5.6', '5.3', '5.10a', '5.8', '5.9', '5.10a', '5.4', '5.8']",
Fart Man,2.0,2,V1,['Boulder'],15,1,,,California,Indian Cove Cam…,0,0,"['5.5', '5.9', '5.8', '5.5', '5.0', '5.9', '5.8+', '5.10b', '5.8', '5.8', '5.8', '5.10c', '5.5']",
Lumpy,1.3,16,V-easy,['Boulder'],15,1,,,California,Chocolate Boulders,2,0,"['V0+', 'V4', 'V2']",
Smoothie,1.6,20,V0+,['Boulder'],20,1,,,California,Chocolate Boulders,7,2,"['V-easy', 'V4', 'V2']",
Swinging Richard Direct,1.5,8,V2,['Boulder'],15,1,,,California,Chocolate Boulders,3,1,"['V-easy', 'V0+', 'V4']",
Swinging Richard,3.2,39,V4,['Boulder'],20,1,,,California,Chocolate Boulders,3,0,"['V-easy', 'V0+', 'V2']",
Rotten Teeth,1.0,4,V-easy,['Boulder'],8,1,,,California,Chocolate Boulders,1,0,"['V-easy', 'V-easy', 'V1+', 'V0']",
Mini-Arete,1.6,19,V-easy,['Boulder'],10,1,,,California,Chocolate Boulders,2,0,"['V-easy', 'V-easy', 'V1+', 'V0']",
Mini-Slab,1.5,15,V-easy,['Boulder'],10,1,,,California,Chocolate Boulders,3,0,"['V-easy', 'V-easy', 'V1+', 'V0']",
Sweet Tooth - Stand,0.7,3,V0,['Boulder'],6,1,,,California,Chocolate Boulders,1,0,"['V-easy', 'V-easy', 'V-easy', 'V1+']",
Sweet Tooth,1.6,8,V1+,['Boulder'],10,1,,,California,Chocolate Boulders,3,0,"['V-easy', 'V-easy', 'V-easy', 'V0']",
Problem A,2.0,1,V1,['Boulder'],10,1,,,California,Miledi Boulders,0,0,['V0'],
Torpedo,1.3,6,V0,['Boulder'],15,1,,,California,Chocolate Boulders,1,1,"['V2', 'V2', 'V3', 'V-easy', 'V2', 'V1']",
Unnamed,1.0,2,V-easy,['Boulder'],,1,,,California,Lost Horse Boul…,1,0,"['V3', 'V-easy', 'V-easy', 'V5', 'V2', 'V2']",
Stinger,1.4,7,V2,['Boulder'],15,1,,,California,Chocolate Boulders,2,2,"['V2', 'V3', 'V-easy', 'V2', 'V0', 'V1']",
Attractive Brunette Throw,1.9,10,V2,['Boulder'],12,1,,,California,Chocolate Boulders,2,0,"['V2', 'V3', 'V-easy', 'V2', 'V0', 'V1']",
Attractive Brunette,1.8,32,V2,['Boulder'],12,1,,,California,Chocolate Boulders,5,0,"['V2', 'V3', 'V-easy', 'V2', 'V0', 'V1']",
