name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
The Dyno,3.0,1,V7,['Boulder'],15,1,,,California,Bachar Boulders,1,0,[],
Problem A,1.5,15,V0,['Boulder'],15,1,,,California,Rock Creek Boul…,1,1,"['V3', 'V9', 'V6', 'V6', 'V10', 'V0-', 'V4', 'V10', 'V7', 'V4']",
Problem I,1.5,2,V2,['Boulder'],10,1,,,California,Ice Cream Boulders,3,1,"['V-easy', 'V0-', 'V0', 'V1', 'V1', 'V2+', 'V1', 'V0+', 'V1', 'V2', 'V2']",
Problem P,2.0,4,V5,['Boulder'],10,1,,,California,Bachar Boulders,2,1,"['V0-', 'V0-', 'V0', 'V0-', 'V0+', 'V0+', 'V1', 'V0', 'V2', 'V2', 'V2', 'V2', 'V3', 'V0+', 'V0', 'V0', 'V3', 'V3']",
Problem Q,2.0,3,V3,['Boulder'],10,1,,,California,Bachar Boulders,3,0,"['V0-', 'V0-', 'V0', 'V0-', 'V0+', 'V0+', 'V1', 'V0', 'V2', 'V2', 'V2', 'V2', 'V0+', 'V0', 'V0', 'V5', 'V3', 'V3']",
Problem L,1.0,1,V2-,['Boulder'],10,1,,,California,Deadman Summit,1,0,"['V0+', 'V0-', 'V0-', 'V0-', 'V0', 'V0+', 'V1', 'V1']",
Problem D,1.7,3,V-easy,['Boulder'],8,1,,,California,Ghetto,1,0,"['V0', 'V5', 'V-easy']",
Problem O,2.6,7,V0+,['Boulder'],15,1,,,California,Deadman I,3,0,"['V4', '5.10c', 'V0', 'V3']",
Problem B,2.1,9,V0-,['Boulder'],12,1,,,California,Rock Creek Boul…,0,0,"['V3', 'V9', 'V6', 'V6', 'V10', 'V0', 'V4', 'V10', 'V7', 'V4']",
Problem C,2.7,3,V5,['Boulder'],8,1,,,California,Ghetto,1,0,"['V-easy', 'V0', 'V-easy']",
Problem K,2.0,1,V1,['Boulder'],10,1,,,California,Deadman Summit,1,0,"['V0+', 'V0-', 'V0-', 'V0-', 'V0', 'V0+', 'V1', 'V2-']",
Problem M,2.0,4,V0+,['Boulder'],15,1,,,California,Bachar Boulders,1,0,"['V0-', 'V0-', 'V0', 'V0-', 'V0+', 'V1', 'V0', 'V2', 'V2', 'V2', 'V2', 'V3', 'V0+', 'V0', 'V0', 'V5', 'V3', 'V3']",
Problem G,1.7,3,V1,['Boulder'],10,1,,,California,Ice Cream Boulders,2,1,"['V-easy', 'V0-', 'V0', 'V1', 'V2+', 'V2', 'V1', 'V0+', 'V1', 'V2', 'V2']",
Problem J,2.0,1,V2,['Boulder'],8,1,,,California,Ice Cream Boulders,0,0,"['V-easy', 'V0-', 'V0', 'V1', 'V1', 'V2+', 'V1', 'V0+', 'V1', 'V2', 'V2']",
Problem N,2.5,8,V0,['Boulder'],15,1,,,California,Bachar Boulders,2,0,"['V0-', 'V0-', 'V0-', 'V0+', 'V0+', 'V1', 'V0', 'V2', 'V2', 'V2', 'V2', 'V3', 'V0+', 'V0', 'V0', 'V5', 'V3', 'V3']",
Problem E,1.6,5,V-easy,['Boulder'],10,1,,,California,Ice Cream Boulders,1,0,"['V0', 'V1', 'V0', 'V2+', 'V1+', 'V2']",
Problem F,1.0,2,V2,['Boulder'],8,1,,,California,Ice Cream Boulders,1,0,"['V0', 'V1', 'V0', 'V2+', 'V1+', 'V-easy']",
Like a Virgin,3.9,17,V3,['Boulder'],25,1,R,,California,Bachar Boulders,2,7,"['V6', 'V-easy', 'V1', 'V1', 'V0', 'V2', 'V2+', 'V2', 'V7', 'V0-', 'V2', 'V1+', 'V0', 'V2-', 'V2', 'V4-', 'V0+', 'V0', 'V0', 'V3']",
Problem R,1.7,3,V3,['Boulder'],10,1,,,California,Bachar Boulders,0,1,"['V0-', 'V0-', 'V0', 'V0-', 'V0+', 'V0+', 'V1', 'V0', 'V2', 'V2', 'V2', 'V2', 'V0+', 'V0', 'V0', 'V5', 'V3', 'V3']",
Problem N - SDS,2.7,3,V4-,['Boulder'],20,1,,,California,Bachar Boulders,0,0,"['V6', 'V3', 'V-easy', 'V1', 'V1', 'V0', 'V2', 'V2+', 'V2', 'V7', 'V0-', 'V2', 'V1+', 'V0', 'V2-', 'V2', 'V0+', 'V0', 'V0', 'V3']",
JBs Seam,3.9,8,V6,['Boulder'],20,1,,,California,Bachar Boulders,5,2,"['V3', 'V-easy', 'V1', 'V1', 'V0', 'V2', 'V2+', 'V2', 'V7', 'V0-', 'V2', 'V1+', 'V0', 'V2-', 'V2', 'V4-', 'V0+', 'V0', 'V0', 'V3']",
