name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Classic Crack,3.5,11,5.10a,"['Trad', 'TR']",70,1,,,California,June Lake Area,1,0,"['5.12a', '5.10c']",
Fear of Flying,2.5,2,5.10c,['Trad'],40,1,,,California,June Lake Area,0,1,"['5.12a', '5.10a']",
Block and Tackle,3.6,11,5.12a,['Trad'],50,1,,,California,June Lake Area,2,2,"['5.10a', '5.10c']",
Santuario de Guadalupe,1.5,4,5.8,['Sport'],70,1,,,California,June Lake Area,4,0,"['5.11c', '5.11a', '5.11+', '5.11a']",
Bush League,2.8,5,5.11a,['Sport'],95,1,,,California,June Lake Area,3,2,"['5.11c', '5.11+', '5.8', '5.11a']",
Torqued Off,2.7,3,5.11a,['Sport'],85,1,,,California,June Lake Area,1,0,"['5.11c', '5.11+', '5.8', '5.11a']",
The Brazilian Dazzler,3.0,5,5.11c,['Sport'],90,1,,,California,June Lake Area,3,1,"['5.11a', '5.11+', '5.8', '5.11a']",
Bush Pilot,2.3,3,5.11+,['Sport'],45,1,,,California,June Lake Area,0,0,"['5.11c', '5.11a', '5.8', '5.11a']",
Beginner Slab,2.4,5,5.4,"['Trad', 'TR']",80,1,,,California,June Lake Area,0,1,"['5.9', '5.10d', '5.11a', '5.11a']",
Do You Even Climb Bro?,2.0,4,5.9,"['Sport', 'TR']",60,1,,,California,June Lake Area,1,1,"['5.4', '5.10d', '5.11a', '5.11a']",
Heartless Minds,3.0,3,5.10d,"['Sport', 'TR']",60,1,,,California,June Lake Area,3,0,"['5.4', '5.9', '5.11a', '5.11a']",
Perfect Proportions,2.2,6,5.11a,['Sport'],70,1,,,California,June Lake Area,6,15,"['5.4', '5.9', '5.10d', '5.11a']",
Shutdown Face,3.0,4,5.11a,['Trad'],60,1,,,California,June Lake Area,5,2,"['5.4', '5.9', '5.10d', '5.11a']",
While You Were Quarantining,1.0,1,5.7+,['Sport'],65,1,,,California,June Lake Area,1,0,"['5.10a', '5.11a', '5.8']",
While You Were Sleeping,1.8,5,5.8,['Sport'],60,1,,,California,June Lake Area,1,1,"['5.10a', '5.11a', '5.7+']",
Five Nine D,2.9,7,5.10a,['Sport'],70,1,,,California,June Lake Area,1,1,"['5.11a', '5.7+', '5.8']",
Plata o Plomo,2.0,3,5.11a,['Sport'],70,1,,,California,June Lake Area,1,0,"['5.10a', '5.7+', '5.8']",
Lower Right Arete,2.5,2,5.10b,['TR'],20,1,,,California,Rush,1,0,['5.11+'],
Low Right Direct,2.0,1,5.11+,"['Trad', 'TR']",25,1,,,California,Rush,1,0,['5.10b'],
Chasing the Butterfly,2.5,2,5.4,"['Trad', 'TR']",100,1,,,California,Rush,1,0,"['5.8', '5.8', '5.9', '5.8+']",
Di-Crack Left,2.5,2,5.8,['TR'],80,1,,,California,Rush,1,0,"['5.4', '5.8', '5.9', '5.8+']",
Di-Crack Center,2.5,4,5.8,['TR'],70,1,,,California,Rush,1,0,"['5.4', '5.8', '5.9', '5.8+']",
Tangling with Yarn,2.5,2,5.8+,['TR'],90,1,,,California,Rush,1,0,"['5.4', '5.8', '5.8', '5.9']",
Di-Crack Right,3.0,2,5.9,['TR'],70,1,,,California,Rush,1,0,"['5.4', '5.8', '5.8', '5.8+']",
CF Connect Left Upper Right,2.0,1,5.2,['Sport'],80,1,,,California,Rush,1,0,"['5.10c/d', '5.9+', '5.7', '5.10a', '5.4', '5.8+', '5.10a', '5.3', '5.3', '5.10b', '5.3', '5.8', '5.4', '5.9', '5.6', '5.6', '5.7', '5.11a', '5.5', '5.8', '5.7', '5.9']",
Hand Traverse,1.5,2,5.3,['Trad'],35,1,,,California,Rush,4,0,"['5.10c/d', '5.9+', '5.7', '5.10a', '5.2', '5.4', '5.8+', '5.10a', '5.3', '5.10b', '5.3', '5.8', '5.4', '5.9', '5.6', '5.6', '5.7', '5.11a', '5.5', '5.8', '5.7', '5.9']",
