name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Unknown Highway,1.6,8,5.9,['Aid'],80,1,,,California,Indian Cove Cam…,0,6,"['5.6', '5.10d', '5.10c', '5.8+', '5.8', '5.9']",
Kentucky Waterfall,1.0,1,5.11-,"['Trad', 'Aid']",50,1,,,California,Indian Cove,0,0,['5.10b'],
Teahupo'o,1.0,1,5.7,"['Trad', 'Aid']",60,1,,,California,Atom Smasher Area,2,0,[],A1
Unnamed Aid Route,2.0,1,,"['Trad', 'Aid']",50,1,R,,California,W Wonderland Va…,0,0,[],A2
Sleezy Mormon,1.0,1,5.10d,"['Trad', 'Aid']",90,1,,,California,Jumbo Rock Area,0,3,"['5.10', '5.9', '5.10b', '5.6', '5.10a', '5.9']",
Carlos and Peter go to the Rodeo,3.0,2,5.7,"['Trad', 'Aid']",80,1,,,California,Stirrup Rock,1,0,"['5.9', '5.8', '5.10c', '5.12a/b', '5.10+']",
Gypsy Boots,2.0,1,5.9,"['Trad', 'Aid']",70,1,,,California,OZ_,0,1,"['5.11b', '5.10c', '5.11b', '5.11a', '5.8', '5.8+', '5.11c', '5.11c']",
Goof Proof Roof,3.8,4,5.8,['Aid'],170,3,,,California,Indian Head Area,15,3,['5.11-'],
Mrs. Carvey Danison,1.0,1,5.8,"['Trad', 'Aid']",60,1,,,California,Snickers,1,3,"['5.11a', '5.10a', '5.10a/b', '5.10a', '5.7+', '5.11a', '5.10c', '5.10b', '5.11c', '5.10+', '5.10c', '5.9', '5.10b', '5.11b', '5.10c', '5.11+', '5.11d', '5.8-', '5.10a', '5.11b', '5.10a']",
Dances with Seals,2.0,2,5.9,"['Trad', 'Aid']",50,1,,,California,Snickers,4,1,"['5.11d', '5.3', '5.11b', '5.11+', '5.12a', '5.10b']",
Turd Burgler,1.0,1,5.10-,"['Trad', 'Aid']",60,1,,,California,Snickers,3,0,['5.9+'],
Jesus Saw You Take It,3.2,5,5.9+,['Aid'],100,1,,,California,Snickers,4,7,['5.10-'],A2-3
Walee,0.0,0,5.10c/d,"['Trad', 'Aid']",,1,,,California,Pixar Wall Area,1,3,[],A1
Lost Lid,2.0,2,5.10d,"['Trad', 'Aid']",50,1,,,California,Cap Rock Area,2,1,[],
Beaver Boulder Bolt Ladder,1.0,1,5.10d,['Aid'],35,1,,,California,Cap Rock Area,0,0,[],
RURP Romp,1.5,2,5.10d,['Aid'],50,1,R,,California,Cap Rock Area,5,2,[],
"Hey McLeod, Get Off of My Ewe",2.5,2,5.5,"['Trad', 'Aid']",80,1,,,California,Saddle Rocks,3,2,"['5.10a', '5.8', '5.9', '5.11-']",A3-
Unknown Aid Climb,4.0,1,5.9,"['Trad', 'Aid']",40,1,,,California,Cave Corridor Area,1,0,['5.9+'],
Candy Grabber,1.0,1,5.8,"['Trad', 'Aid']",70,2,,,California,Cave Corridor,2,0,"['5.9', '5.6', '5.8', '5.9', '5.7', '5.10b']",A2+
