name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Todd Gordon Memorial Chossy Pile of Radness (aka The Big Todd),2.5,6,5.11b,"['Sport', 'TR', 'Boulder']",35,1,,,California,Rattlesnake Canyon,2,7,"['5.10a', '5.9', '5.9', '5.11a/b', '5.7', 'V2+']",
A Hearty Handful of Cheek,2.0,2,V0,['Boulder'],6,1,PG13,,California,Group Campsites Rd,1,0,[],
Gait of Power Traverse,2.0,1,V1,['Boulder'],20,1,,,California,Indian Cove Cam…,0,0,"['5.9', '5.10a', '5.11c', 'V1-2', '5.8-', '5.10a/b', '5.6', '5.3', '5.10a', '5.8', '5.9', '5.10a', '5.4', '5.8']",
Crack Alley,2.0,8,V1-2,['Boulder'],15,1,,,California,Indian Cove Cam…,3,0,"['5.9', '5.10a', '5.11c', '5.8-', '5.10a/b', 'V1', '5.6', '5.3', '5.10a', '5.8', '5.9', '5.10a', '5.4', '5.8']",
Fart Man,2.0,2,V1,['Boulder'],15,1,,,California,Indian Cove Cam…,0,0,"['5.5', '5.9', '5.8', '5.5', '5.0', '5.9', '5.8+', '5.10b', '5.8', '5.8', '5.8', '5.10c', '5.5']",
Lumpy,1.3,16,V-easy,['Boulder'],15,1,,,California,Chocolate Boulders,2,0,"['V0+', 'V4', 'V2']",
Smoothie,1.6,20,V0+,['Boulder'],20,1,,,California,Chocolate Boulders,7,2,"['V-easy', 'V4', 'V2']",
Swinging Richard Direct,1.5,8,V2,['Boulder'],15,1,,,California,Chocolate Boulders,3,1,"['V-easy', 'V0+', 'V4']",
Swinging Richard,3.2,40,V4,['Boulder'],20,1,,,California,Chocolate Boulders,3,0,"['V-easy', 'V0+', 'V2']",
Rotten Teeth,1.0,4,V-easy,['Boulder'],8,1,,,California,Chocolate Boulders,1,0,"['V-easy', 'V-easy', 'V1+', 'V0']",
Mini-Arete,1.6,19,V-easy,['Boulder'],10,1,,,California,Chocolate Boulders,2,0,"['V-easy', 'V-easy', 'V1+', 'V0']",
Mini-Slab,1.5,15,V-easy,['Boulder'],10,1,,,California,Chocolate Boulders,3,0,"['V-easy', 'V-easy', 'V1+', 'V0']",
Sweet Tooth - Stand,0.7,3,V0,['Boulder'],6,1,,,California,Chocolate Boulders,1,0,"['V-easy', 'V-easy', 'V-easy', 'V1+']",
Sweet Tooth,1.6,8,V1+,['Boulder'],10,1,,,California,Chocolate Boulders,3,0,"['V-easy', 'V-easy', 'V-easy', 'V0']",
Problem A,1.0,1,V0+,['Boulder'],12,1,,,California,Outback Bouldering,0,0,"['V0', 'V-easy']",
Torpedo,1.3,6,V0,['Boulder'],15,1,,,California,Chocolate Boulders,1,1,"['V2', 'V2', 'V3', 'V-easy', 'V2', 'V1']",
Unnamed,1.4,5,V0,['Boulder'],8,1,,,California,JBMF Boulders,1,0,"['V4', 'V3', 'V4', 'V3', 'V6']",
Stinger,1.4,7,V2,['Boulder'],15,1,,,California,Chocolate Boulders,2,2,"['V2', 'V3', 'V-easy', 'V2', 'V0', 'V1']",
Attractive Brunette Throw,1.9,10,V2,['Boulder'],12,1,,,California,Chocolate Boulders,2,0,"['V2', 'V3', 'V-easy', 'V2', 'V0', 'V1']",
Attractive Brunette,1.8,33,V2,['Boulder'],12,1,,,California,Chocolate Boulders,5,0,"['V2', 'V3', 'V-easy', 'V2', 'V0', 'V1']",
Brunette Torpedo,2.4,8,V3,['Boulder'],12,1,,,California,Chocolate Boulders,1,0,"['V2', 'V2', 'V-easy', 'V2', 'V0', 'V1']",
Sinfully Delicious,1.3,12,V-easy,['Boulder'],13,1,,,California,Chocolate Boulders,2,0,"['V3', 'V1', 'V4', 'V3', 'V0-']",
Tush,1.8,22,V0-,['Boulder'],12,1,,,California,Chocolate Boulders,5,1,"['V3', 'V1', 'V4', 'V-easy', 'V3']",
Bodacious Rail,2.1,15,V1,['Boulder'],15,1,,,California,Chocolate Boulders,5,0,"['V3', 'V4', 'V-easy', 'V3', 'V0-']",
Bodacious,2.0,3,V3,['Boulder'],15,1,,,California,Chocolate Boulders,3,0,"['V1', 'V4', 'V-easy', 'V3', 'V0-']",
Thin Face,1.6,8,V3,['Boulder'],15,1,,,California,Chocolate Boulders,4,0,"['V1', 'V4', 'V-easy', 'V3', 'V0-']",
Ghetto Booty,2.3,3,V4,['Boulder'],12,1,,,California,Chocolate Boulders,1,0,"['V3', 'V1', 'V-easy', 'V3', 'V0-']",
Chocolate Roof Right,2.1,8,V3,['Boulder'],20,1,,,California,Chocolate Boulders,1,0,"['V5', 'V4']",
Chocolate Roof Left,2.7,9,V4,['Boulder'],12,1,,,California,Chocolate Boulders,2,2,"['V5', 'V3']",
Chocolate Roof Center,2.6,5,V5,['Boulder'],12,1,,,California,Chocolate Boulders,1,0,"['V4', 'V3']",
The Choc-o-Roach,2.5,2,V-easy,['Boulder'],13,1,,,California,Chocolate Boulders,2,0,"['V-easy', 'V0+']",
Problem B,1.5,2,V0,['Boulder'],13,1,,,California,Outback Bouldering,0,0,"['V-easy', 'V0', 'V-easy', 'V-easy', 'V0', 'V3']",
Happy Feet,1.0,1,V0-,['Boulder'],12,1,,,California,Chocolate Boulders,3,0,[],
Warm-Down,1.0,4,V-easy,['Boulder'],10,1,R,,California,Miledi Boulders,0,0,"['V0', 'V4', 'V6', 'V3', 'V5', 'V-easy']",
Hoffmans Highman,1.0,1,V-easy,['Boulder'],20,1,R,,California,Miledi Boulders,0,0,"['V0', 'V4', 'V6', 'V3', 'V5', 'V-easy']",
Easy Bones,1.0,1,V0,['Boulder'],20,1,R,,California,Miledi Boulders,0,0,"['V-easy', 'V4', 'V6', 'V3', 'V5', 'V-easy']",
Miledi,3.7,10,V3,['Boulder'],25,1,R,,California,Miledi Boulders,4,4,"['V0', 'V-easy', 'V4', 'V6', 'V5', 'V-easy']",
K.D. Supreme,3.2,5,V4,['Boulder'],18,1,,,California,Miledi Boulders,2,0,"['V0', 'V-easy', 'V6', 'V3', 'V5', 'V-easy']",
Miledi (yabo),3.0,1,V5,['Boulder'],18,1,PG13,,California,Miledi Boulders,0,0,"['V0', 'V-easy', 'V4', 'V6', 'V3', 'V-easy']",
K.D. Supreme (yabo),4.0,1,V6,['Boulder'],15,1,PG13,,California,Miledi Boulders,0,0,"['V0', 'V-easy', 'V4', 'V3', 'V5', 'V-easy']",
Don't Puss,1.4,7,V0-,['Boulder'],18,1,,,California,Miledi Boulders,1,0,"['V0', 'V1', 'V3']",
Scratch Arete,1.7,6,V0,['Boulder'],18,1,,,California,Miledi Boulders,1,0,"['V0-', 'V1', 'V3']",
Scratch-N-Sniff,2.3,10,V1,['Boulder'],15,1,,,California,Miledi Boulders,1,1,"['V0-', 'V0', 'V3']",
Something For Nothing,1.0,1,V3,['Boulder'],18,1,,,California,Miledi Boulders,0,0,"['V0-', 'V0', 'V1']",
Frozen Mound,1.0,1,V1,['Boulder'],10,1,,,California,Miledi Boulders,1,0,['V2'],
Frozen Ground,0.0,1,V2,['Boulder'],10,1,,,California,Miledi Boulders,1,0,['V1'],
Zygote,0.5,2,V-easy,['Boulder'],10,1,,,California,Embryo Area,0,0,"['V4', 'V0-', 'V-easy']",
Blastula,1.0,2,V-easy,['Boulder'],15,1,PG13,,California,Embryo Area,0,0,"['V4', 'V0-', 'V-easy']",
Embryonic Journey,1.0,1,V0-,['Boulder'],10,1,,,California,Embryo Area,1,0,"['V-easy', 'V4', 'V-easy']",
The Embryo,2.8,6,V4,['Boulder'],12,1,,,California,Embryo Area,1,2,"['V-easy', 'V0-', 'V-easy']",
Blip,1.0,1,V-easy,['Boulder'],15,1,,,California,Embryo Area,0,1,"['V0-', 'V1', 'V-easy', 'V4', 'V1']",
Primer,1.0,1,V-easy,['Boulder'],15,1,,,California,Embryo Area,1,0,"['V0-', 'V1', 'V-easy', 'V4', 'V1']",
Blip Trip,1.0,2,V0-,['Boulder'],15,1,,,California,Embryo Area,0,0,"['V-easy', 'V1', 'V-easy', 'V4', 'V1']",
Zoom-O,1.0,2,V1,['Boulder'],8,1,,,California,Embryo Area,0,0,"['V-easy', 'V0-', 'V-easy', 'V4', 'V1']",
C-Section,2.0,1,V1,['Boulder'],8,1,,,California,Embryo Area,2,0,"['V-easy', 'V0-', 'V-easy', 'V4', 'V1']",
Quiff,1.0,1,V4,['Boulder'],15,1,,,California,Embryo Area,1,0,"['V-easy', 'V0-', 'V1', 'V-easy', 'V1']",
Dark Island,1.0,1,V-easy,['Boulder'],10,1,,,California,Embryo Area,2,0,"['V0-', 'V0', 'V0']",
Dragonhead,1.0,1,V0-,['Boulder'],10,1,,,California,Embryo Area,1,0,"['V-easy', 'V0', 'V0']",
Skullsplitter,2.0,1,V0,['Boulder'],12,1,,,California,Embryo Area,2,0,"['V-easy', 'V0-', 'V0']",
Northern Light,1.0,1,V0,['Boulder'],10,1,,,California,Embryo Area,2,0,"['V-easy', 'V0-', 'V0']",
West Entrance Warm-up,1.0,4,V-easy,['Boulder'],15,1,,,California,Quail Springs B…,3,0,"['V2', 'V1']",
West Entrance Slab,1.5,2,V1,['Boulder'],15,1,,,California,Quail Springs B…,2,1,"['V2', 'V-easy']",
West Entrance Problem,1.0,1,V2,['Boulder'],15,1,,,California,Quail Springs B…,1,0,"['V1', 'V-easy']",
Locker's Chimney,2.1,12,V-easy,['Boulder'],15,1,,,California,Trashcan Rock Area,2,0,"['V-easy', 'V-easy', 'V-easy', 'V1', 'V0+', 'V3', 'V0', 'V1']",
Hand Crack,1.4,9,V-easy,['Boulder'],15,1,,,California,Trashcan Rock Area,1,0,"['V-easy', 'V-easy', 'V-easy', 'V1', 'V0+', 'V3', 'V0', 'V1']",
Flake,1.4,10,V-easy,['Boulder'],15,1,,,California,Trashcan Rock Area,2,0,"['V-easy', 'V-easy', 'V-easy', 'V1', 'V0+', 'V3', 'V0', 'V1']",
Fist Crack,1.0,3,V-easy,['Boulder'],15,1,,,California,Trashcan Rock Area,2,0,"['V-easy', 'V-easy', 'V-easy', 'V1', 'V0+', 'V3', 'V0', 'V1']",
V0 Thin Crack,1.6,8,V0,['Boulder'],12,1,,,California,Trashcan Rock Area,1,0,"['V-easy', 'V-easy', 'V-easy', 'V-easy', 'V1', 'V0+', 'V3', 'V1']",
Name Forgotten,1.5,2,V0+,['Boulder'],15,1,,,California,Trashcan Rock Area,0,0,"['V-easy', 'V-easy', 'V-easy', 'V-easy', 'V1', 'V3', 'V0', 'V1']",
