name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Machine World,3.5,33,5.11c,['Boulder'],,1,,,California,Tuolumne Meadows,4,1,"['5.8', '5.12c', '5.12a', '5.5', '5.11c', 'V3', 'V6', '5.7']",
Machine World Extension,3.0,1,V6,['Boulder'],,1,,,California,Tuolumne Meadows,1,2,"['5.8', '5.11c', '5.12c', '5.12a', '5.5', '5.11c', 'V3', '5.7']",
Unnamed,2.0,2,V3,['Boulder'],12,1,,,California,Housekeeping,1,0,"['V8', 'V0', 'V0', 'V0']",
Snake Eyes,2.9,20,V3,['Boulder'],12,1,,,California,Knobs,0,0,"['V4', 'V7', 'V7', 'V5', 'V3', 'V0']",
Double Dyno,3.1,53,V3,['Boulder'],12,1,,,California,Knobs,2,4,"['V4', 'V7', 'V7', 'V5', 'V3', 'V0']",
Eliminator Right,3.0,4,V4,['Boulder'],10,1,,,California,Knobs,0,0,"['V3', 'V7', 'V7', 'V5', 'V3', 'V0']",
Kauk Problem,3.4,52,V5,['Boulder'],10,1,,,California,Knobs,3,4,"['V3', 'V4', 'V7', 'V7', 'V3', 'V0']",
Eliminator Traverse,3.6,7,V7,['Boulder'],,1,,,California,Knobs,1,1,"['V3', 'V4', 'V7', 'V5', 'V3', 'V0']",
The Hardest Problem at the Knobs,1.8,5,V7,['Boulder'],5,1,,,California,Knobs,1,0,"['V3', 'V4', 'V7', 'V5', 'V3', 'V0']",
Right Scoop,3.0,7,V0+,['Boulder'],,1,,,California,Knobs,0,1,"['V0+', 'V3', 'V1', 'V1']",
Left Scoop,3.0,4,V0+,['Boulder'],,1,PG13,,California,Knobs,0,0,"['V0+', 'V3', 'V1', 'V1']",
Skywalker,3.2,5,V1,['Boulder'],25,1,R,,California,Knobs,1,1,"['V0+', 'V0+', 'V3', 'V1']",
The Scoop,3.8,44,V3,['Boulder'],,1,,,California,Knobs,1,2,"['V0+', 'V0+', 'V1', 'V1']",
Slab Crack,1.0,1,V0-,"['Boulder', 'Alpine']",,1,,,California,Knobs,0,0,[],
Creek Arete,3.8,4,V0,['Boulder'],,1,,,California,Knobs,0,0,[],
Slab Left,2.0,1,V0-,['Boulder'],,1,,,California,Knobs,0,0,['V0-'],
Slab Right,2.0,1,V0-,['Boulder'],,1,,,California,Knobs,0,0,['V0-'],
Golden Rastafarian,3.6,25,V3,['Boulder'],15,1,,,California,Kitty Boulders,2,2,['V6'],
Golden Rastafarian Sit Start,3.1,9,V6,['Boulder'],15,1,,,California,Kitty Boulders,0,1,['V3'],
The Tombstone,3.5,10,V2,['Boulder'],,1,,,California,Kitty Boulders,1,1,[],
Kitty Arete,3.0,5,V4,['Boulder'],,1,,,California,Kitty Boulders,1,0,[],
Golden Face,3.5,4,V4,['Boulder'],15,1,,,California,Kitty Boulders,1,0,[],
Cellulite Eliminator Stand Start,3.5,33,V5,['Boulder'],,1,,,California,Gunks,2,1,"['V7', 'V8']",
Cellulite Eliminator,4.0,28,V7,['Boulder'],15,1,,,California,Gunks,1,2,"['V5', 'V8']",
Steelfingers Traverse,4.0,3,V8,['Boulder'],,1,,,California,Gunks,2,0,"['V7', 'V5']",
Pumpmaster Traverse,3.0,13,V2-3,['Boulder'],50,1,,,California,Gunks,2,0,['V8'],
Mean Green,4.0,7,V8,['Boulder'],12,1,,,California,Gunks,2,2,['V2-3'],
The Arete,3.5,15,V4,['Boulder'],,1,,,California,Gunks,0,2,[],
Unnamed V5,3.0,1,V5,['Boulder'],15,1,,,California,Gunks,0,0,[],
Problem C,1.7,6,V0,['Boulder'],,1,,,California,Puppy Boulders,0,0,"['V1', 'V0-', 'V0-', 'V-easy', 'V2', 'V2+', 'V1']",
Problem I,1.6,10,V-easy,['Boulder'],10,1,,,California,Puppy Boulders,0,0,"['V3', 'V3', 'V0', 'V0', 'V2', 'V1', 'V3', 'V1+', 'V-easy', 'V0']",
Problem B,1.7,6,V0-,['Boulder'],,1,,,California,Puppy Boulders,0,0,"['V1', 'V0', 'V0-', 'V-easy', 'V2', 'V2+', 'V1']",
Problem D,1.8,4,V0-,['Boulder'],15,1,,,California,Puppy Boulders,0,0,"['V1', 'V0', 'V0-', 'V-easy', 'V2', 'V2+', 'V1']",
Problem J,1.9,9,V0,['Boulder'],10,1,,,California,Puppy Boulders,0,0,"['V3', 'V3', 'V-easy', 'V0', 'V2', 'V1', 'V3', 'V1+', 'V-easy', 'V0']",
Problem F,2.0,3,V2,['Boulder'],10,1,,,California,Puppy Boulders,0,0,"['V1', 'V0-', 'V0', 'V0-', 'V-easy', 'V2+', 'V1']",
Problem H,1.8,5,V1,['Boulder'],10,1,,,California,Puppy Boulders,0,0,"['V0-', 'V0', 'V0-', 'V-easy', 'V2', 'V2+', 'V1']",
Problem E,2.5,4,V-easy,['Boulder'],8,1,,,California,Puppy Boulders,0,0,"['V1', 'V0-', 'V0', 'V0-', 'V2', 'V2+', 'V1']",
L-R traverse,2.0,1,V3,['Boulder'],,1,,,California,Puppy Boulders,1,0,"['V3', 'V0', 'V-easy', 'V0', 'V2', 'V1', 'V3', 'V1+', 'V-easy', 'V0']",
Problem A,2.0,6,V1,['Boulder'],10,1,,,California,Puppy Boulders,0,0,"['V0-', 'V0', 'V0-', 'V-easy', 'V2', 'V2+', 'V1']",
Problem G,2.3,3,V2+,['Boulder'],10,1,,,California,Puppy Boulders,1,0,"['V1', 'V0-', 'V0', 'V0-', 'V-easy', 'V2', 'V1']",
Bachar Mantel,3.5,6,V3,['Boulder'],,1,,,California,Puppy Boulders,1,1,"['V6', 'V8', 'V10-', 'V11', 'V11']",
Center Mantel,3.0,1,V6,['Boulder'],,1,,,California,Puppy Boulders,0,0,"['V3', 'V8', 'V10-', 'V11', 'V11']",
Cerwin's Mantel,3.0,1,V8,['Boulder'],10,1,,,California,Puppy Boulders,0,0,"['V3', 'V6', 'V10-', 'V11', 'V11']",
Galaxy 5000,3.5,2,V10-,['Boulder'],10,1,,,California,Puppy Boulders,1,0,"['V3', 'V6', 'V8', 'V11', 'V11']",
Thunderhead,3.0,1,V11,['Boulder'],30,1,,,California,Puppy Boulders,0,0,"['V3', 'V6', 'V8', 'V10-', 'V11']",
Thunderbird,4.0,1,V11,['Boulder'],30,1,,,California,Puppy Boulders,0,0,"['V3', 'V6', 'V8', 'V10-', 'V11']",
The Gallery,3.2,31,V0,['Boulder'],15,1,,,California,Puppy Boulders,1,0,"['V3-4', 'V3', 'V4-5', 'V5', 'V4']",
The Gallery - Lower Lip Traverse,2.5,2,V3,['Boulder'],20,1,,,California,Puppy Boulders,0,0,"['V3-4', 'V4-5', 'V0', 'V5', 'V4']",
The Gallery - Low Right Start,2.9,10,V3-4,['Boulder'],15,1,,,California,Puppy Boulders,0,0,"['V3', 'V4-5', 'V0', 'V5', 'V4']",
J.B.'s Corner,4.0,4,V4,['Boulder'],20,1,PG13,,California,Puppy Boulders,1,0,"['V3-4', 'V3', 'V4-5', 'V0', 'V5']",
"The Gallery, Left",2.7,3,V4-5,['Boulder'],,1,,,California,Puppy Boulders,1,0,"['V3-4', 'V3', 'V0', 'V5', 'V4']",
J.B.'s Arete,3.0,1,V5,['Boulder'],,1,PG13,,California,Puppy Boulders,1,0,"['V3-4', 'V3', 'V4-5', 'V0', 'V4']",
Excalibur Arete,1.8,5,V1,['Boulder'],15,1,,,California,Puppy Boulders,0,0,['V3'],
Excalibur Right,2.7,19,V3,['Boulder'],12,1,,,California,Puppy Boulders,0,1,['V1'],
Paul's Penis,1.0,2,V0,['Boulder'],18,1,,,California,Puppy Boulders,1,0,[],
One Try Wall Center,2.0,1,V3,['Boulder'],,1,,,California,Puppy Boulders,1,0,[],
Black Matter,2.1,8,V5,['Boulder'],10,1,,,California,Big Lebowski Area,1,2,[],
Out of your league,3.3,3,V9,['Boulder'],,1,,,California,Big Lebowski Area,0,1,[],
Throw Me A Rose,2.0,2,V4,['Boulder'],,1,,,California,Tenaya Hillside,1,0,['V5'],
Matador,3.0,2,V5,['Boulder'],,1,,,California,Tenaya Hillside,1,0,['V4'],
Texas Radio,4.0,10,V3,['Boulder'],,1,PG13,,California,Tuolumne Bould…,2,3,['V5'],
Roadside Cave,2.7,7,V5,['Boulder'],,1,,,California,Tuolumne Bould…,0,1,['V3'],
Reach for a Peach,3.7,15,V6,['Boulder'],,1,,,California,Tenaya E Boulders,2,2,"['V8', 'V4']",
Reach for a Peach Low Start,3.3,3,V8,['Boulder'],,1,,,California,Tenaya E Boulders,0,1,"['V6', 'V4']",
South Corner,2.4,7,V0-,['Boulder'],,1,,,California,Tenaya E Boulders,0,0,"['V0', 'V3', 'V1', 'V0', 'V0-', 'V1+']",
North Face Left,2.0,1,V0-,['Boulder'],,1,,,California,Tenaya E Boulders,0,0,"['V0', 'V3', 'V1', 'V0', 'V0-', 'V1+']",
The Cube Crack,2.9,9,V0,['Boulder'],,1,,,California,Tenaya E Boulders,2,1,"['V3', 'V1', 'V0-', 'V0', 'V0-', 'V1+']",
North Face Right,2.0,1,V0,['Boulder'],,1,,,California,Tenaya E Boulders,0,0,"['V3', 'V1', 'V0-', 'V0', 'V0-', 'V1+']",
Flakes,3.5,45,V1,['Boulder'],,1,,,California,Tenaya E Boulders,2,1,"['V0', 'V3', 'V0-', 'V0', 'V0-', 'V1+']",
Southeast Face,2.5,6,V1+,['Boulder'],,1,,,California,Tenaya E Boulders,0,0,"['V0', 'V3', 'V1', 'V0-', 'V0', 'V0-']",
Cube Face,3.0,11,V3,['Boulder'],15,1,,,California,Tenaya E Boulders,2,0,"['V0', 'V1', 'V0-', 'V0', 'V0-', 'V1+']",
Olmsted Crack,3.9,40,V1,['Boulder'],18,1,,,California,Olmsted Point B…,5,5,[],
High-Ball 5.11 Finger Crack,2.5,2,5.11,"['TR', 'Boulder']",25,1,,,California,Olmsted Point B…,0,0,['V1-2'],
Back Breaker Roof,3.0,1,5.11d,"['TR', 'Boulder']",25,1,R,,California,Olmsted Point B…,4,0,['V3+'],
Ghetto Snake,4.0,4,V5,['Boulder'],30,1,,,California,Cathedral Boulders,5,4,[],
Swamp Thing,2.0,1,V5,['Boulder'],,1,,,California,Camp 4 Boulders,0,0,"['V3', 'V6', 'V3', 'V12', 'V9']",
Olmsted OW,3.7,3,5.12a/b,"['TR', 'Boulder']",20,1,,,California,Olmsted Canyon…,3,0,"['V5', 'V4', 'V4+']",
The Roof,3.0,4,V4+,['Boulder'],15,1,,,California,Olmsted Canyon…,1,3,"['V5', '5.12a/b', 'V4']",
Manatee Beach,4.0,1,V5,['Boulder'],10,1,,,California,Olmsted Canyon…,1,0,"['5.12a/b', 'V4', 'V4+']",
Conquistadors,4.0,1,V8,['Boulder'],,1,PG13,,California,Olmsted Canyon…,1,0,[],
Solar Eclipse,1.5,4,V3,['Boulder'],,1,,,California,Tuolumne Bould…,1,0,"['V4', 'V6']",
Solar Flare,3.3,18,V4,['Boulder'],,1,,,California,Tuolumne Bould…,2,2,"['V3', 'V6']",
Solar Power,3.6,9,V6,['Boulder'],14,1,,,California,Tuolumne Bould…,2,1,"['V3', 'V4']",
Lost in Conness-templation,3.0,1,V0+,"['Boulder', 'Alpine']",15,1,,,California,White Mtn W Sid…,1,0,[],
Short Train,3.3,10,V3,['Boulder'],,1,,,California,Pywiack Boulders,0,1,"['V9-', 'V8', 'V5+']",
"Lost, But Not Forgotten",3.7,17,V8,['Boulder'],12,1,,,California,Pywiack Boulders,1,4,"['V9-', 'V3', 'V5+']",
Fear and Loathing In Tuolumne,3.0,5,V9-,['Boulder'],,1,,,California,Pywiack Boulders,0,2,"['V8', 'V3', 'V5+']",
Tommy Boy,1.0,1,V3-4,['Boulder'],,1,,,California,Yosemite Creek,0,0,"['V6', 'V7', 'V3-4']",
Kenji,2.0,1,V6,['Boulder'],,1,,,California,Yosemite Creek,0,0,"['V7', 'V3-4', 'V3-4']",
TKO,3.0,1,V7,['Boulder'],,1,,,California,Yosemite Creek,1,0,"['V6', 'V3-4', 'V3-4']",
Erik's Picnic,0.5,2,V2,['Boulder'],,1,,,California,Tuolumne Bould…,1,0,"['V8', 'V6', 'V7', 'V8', 'V7', 'V3']",
Wood Deliverer,2.7,3,V3,['Boulder'],,1,,,California,Tuolumne Bould…,1,0,"['V8', 'V2', 'V6', 'V7', 'V8', 'V7']",
G23 Arete,3.7,6,V6,['Boulder'],,1,,,California,Tuolumne Bould…,1,1,"['V8', 'V2', 'V7', 'V8', 'V7', 'V3']",
Thug Monkey,3.0,3,V7,['Boulder'],,1,,,California,Tuolumne Bould…,1,1,"['V8', 'V2', 'V6', 'V8', 'V7', 'V3']",
Jedi Jake,4.0,5,V7,['Boulder'],,1,,,California,Tuolumne Bould…,1,1,"['V8', 'V2', 'V6', 'V8', 'V7', 'V3']",
Jedi Monkey,3.0,2,V8,['Boulder'],,1,,,California,Tuolumne Bould…,1,1,"['V2', 'V6', 'V7', 'V8', 'V7', 'V3']",
C85 Arete,3.0,2,V8,['Boulder'],,1,,,California,Tuolumne Bould…,1,1,"['V2', 'V6', 'V7', 'V8', 'V7', 'V3']",
Four Horsemen,2.3,4,V6,['Boulder'],,1,,,California,Medlicott Boulders,1,0,[],
PBR Prow Stand,4.0,1,V6,['Boulder'],,1,PG13,,California,Tuolumne Bould…,1,0,"['V7', 'V9', 'V12', 'V10', 'V9', 'V9+']",
Hand Grenade,3.0,4,V7,['Boulder'],,1,,,California,Tuolumne Bould…,1,3,"['V9', 'V12', 'V10', 'V9', 'V6', 'V9+']",
PBR Prow Sit,4.0,1,V9,['Boulder'],,1,PG13,,California,Tuolumne Bould…,1,0,"['V7', 'V12', 'V10', 'V9', 'V6', 'V9+']",
Heavy Artillery,4.0,3,V9,['Boulder'],,1,,,California,Tuolumne Bould…,1,1,"['V7', 'V12', 'V10', 'V9', 'V6', 'V9+']",
Sticky Bomb,3.0,1,V9+,['Boulder'],9,1,,,California,Tuolumne Bould…,0,0,"['V7', 'V9', 'V12', 'V10', 'V9', 'V6']",
Pansy Tank,3.7,3,V10,['Boulder'],,1,,,California,Tuolumne Bould…,1,1,"['V7', 'V9', 'V12', 'V9', 'V6', 'V9+']",
