name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Wake me up when September ends,3.0,1,V2,['Boulder'],15,1,,,Nevada,09-Icebox Canyon,1,0,['V2-3'],
Dookie,2.0,1,V2-3,"['TR', 'Boulder']",25,1,R,,Nevada,09-Icebox Canyon,1,0,['V2'],
Chapter 11,1.0,1,V0,['Boulder'],10,1,,,Nevada,Library,0,0,"['V2-3', 'V1-2']",
Bookshelf Traverse,1.0,1,V1-2,['Boulder'],20,1,,,Nevada,Library,1,0,"['V2-3', 'V0']",
Agriculture,2.0,1,V2-3,['Boulder'],10,1,,,Nevada,Library,1,0,"['V1-2', 'V0']",
Plot Twist,1.0,1,V1,['Boulder'],15,1,,,Nevada,Library,0,0,"['V1', 'V2', 'V2']",
Abridged,2.0,1,V1,['Boulder'],15,1,,,Nevada,Library,1,0,"['V1', 'V2', 'V2']",
Stick to the Plot,2.0,1,V2,['Boulder'],15,1,,,Nevada,Library,1,0,"['V1', 'V1', 'V2']",
Prologue,2.0,1,V2,['Boulder'],15,1,,,Nevada,Library,0,0,"['V1', 'V1', 'V2']",
Cause for Comotion,1.0,1,V1,['Boulder'],10,1,,,Nevada,Library,1,0,"['V2', 'V3', 'V5']",
Can I Help You?,2.0,1,V2,['Boulder'],10,1,,,Nevada,Library,1,0,"['V1', 'V3', 'V5']",
Double Quarter Pounder,3.0,1,V3,['Boulder'],12,1,,,Nevada,Library,0,0,"['V2', 'V1', 'V5']",
"Pink Hammer, Dicks Out",3.0,1,V5,['Boulder'],15,1,,,Nevada,Library,0,0,"['V2', 'V1', 'V3']",
Thong,1.6,26,V-easy,"['Trad', 'Boulder']",35,1,R,,Nevada,03-First Pullou…,2,4,"['5.8', '5.8', '5.8', '5.10a', '5.11-', '5.10d', '5.5', '5.10', '5.10-', '5.6', '5.7', '5.10d', '5.10', '5.12a', '5.9', '5.10a', '5.10d', '5.6', '5.10a', '5.8', '5.7', '5.7+', '5.11a', '5.11d', '5.10c', '5.12a']",
"Refried Beans Me, Sour Cream Me",1.7,3,V0,['Boulder'],12,1,,,Nevada,05-Sandstone Qu…,2,0,"['V1', '5.10d', 'V3', 'V0']",
Dusty Taco,1.8,4,V0,['Boulder'],12,1,,,Nevada,05-Sandstone Qu…,2,0,"['V1', '5.10d', 'V3', 'V0']",
Amigos' Arete,3.3,3,V1,['Boulder'],12,1,,,Nevada,05-Sandstone Qu…,1,0,"['5.10d', 'V0', 'V3', 'V0']",
Mexican Jacket,3.6,5,V3,['Boulder'],15,1,,,Nevada,05-Sandstone Qu…,5,1,"['V1', '5.10d', 'V0', 'V0']",
Bad Blood,2.0,1,5.11,"['Trad', 'Boulder']",120,1,,,Nevada,Cactus Flower T…,1,1,"['V4-5', '5.11d', '5.9', '5.9', '5.7', '5.12c', '5.10-', '5.12c', '5.9', '5.11a', '5.11a', '5.10b', '5.12a/b']",
Potters’ Crack,3.0,1,V0-1,['Boulder'],20,1,,,Nevada,07-Willow Spring,1,0,['V3'],
The Swinger,3.0,1,V3,['Boulder'],20,1,,,Nevada,07-Willow Spring,1,0,['V0-1'],
Hang loose,3.0,1,V1,"['TR', 'Boulder']",20,1,,,Nevada,04-Second Pullo…,7,4,[],
Left Left,1.0,7,V0,['Boulder'],12,1,,,Nevada,Kraft Boulders,1,0,"['V2', 'V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Left,1.8,37,V2-,['Boulder'],,1,,,Nevada,Kraft Boulders,1,0,"['V1', 'V3-4', 'V2+', 'V1']",
Monkey Crack,2.4,126,V1,['Boulder'],20,1,,,Nevada,Kraft Boulders,3,0,"['V2', 'V2-3', 'V6', 'V2-3', 'V2', 'V5', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Glory Hole,2.1,8,V1,['Boulder'],18,1,,,Nevada,Kraft Boulders,1,1,"['V2', 'V2-3', 'V6', 'V2-3', 'V2', 'V5', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Right of Crack,2.1,55,V2,['Boulder'],20,1,,,Nevada,Kraft Boulders,1,1,"['V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Darwin Award,3.1,13,V2,['Boulder'],10,1,,,Nevada,Kraft Boulders,2,2,"['V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Pocket sit start,3.0,5,V2,['Boulder'],,1,,,Nevada,Kraft Boulders,0,0,"['V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Monkey Bar,3.5,472,V2,['Boulder'],20,1,,,Nevada,Kraft Boulders,11,3,"['V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Blunt Arete,2.1,18,V2,['Boulder'],12,1,,,Nevada,Kraft Boulders,0,0,"['V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Center Face,2.0,2,V1,['Boulder'],14,1,,,Nevada,Lost Creek,0,0,"['V0', 'V0']",
Curious George,2.0,21,V2-3,['Boulder'],,1,,,Nevada,Kraft Boulders,0,0,"['V2', 'V6', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Northeast face left,1.4,5,V3,['Boulder'],,1,,,Nevada,Kraft Boulders,0,0,"['V2', 'V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V5', 'V9', 'V2', 'V12', 'V2']",
Hyperglide (aka Monkey Pinch),3.4,185,V5,['Boulder'],20,1,,,Nevada,Kraft Boulders,3,5,"['V2', 'V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Oompa Loompa,3.2,45,V5,['Boulder'],8,1,,,Nevada,Kraft Boulders,2,7,"['V2', 'V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Monkey Bar Traverse,3.1,100,V6,['Boulder'],20,1,,,Nevada,Kraft Boulders,1,3,"['V2', 'V2-3', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Classic Monkey,3.3,164,V6,['Boulder'],8,1,,,Nevada,Kraft Boulders,5,6,"['V2', 'V2-3', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Monkey Bar Direct,3.3,65,V8,['Boulder'],,1,,,Nevada,Kraft Boulders,3,7,"['V2', 'V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V0', 'V2', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Peter North Pump,4.0,2,V9,['Boulder'],15,1,,,Nevada,Kraft Boulders,0,0,"['V2', 'V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V0', 'V2', 'V8', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
Monkey Bar Direct Right,3.9,7,V9,['Boulder'],15,1,,,Nevada,Kraft Boulders,0,2,"['V2', 'V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V0', 'V2', 'V8', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",
The Redirect,3.0,1,V12,['Boulder'],,1,,,Nevada,Kraft Boulders,1,0,"['V2', 'V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V2']",
