name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Northeast Arete,3.3,32,5.5,['Trad'],800,5,,,Nevada,09-Icebox Canyon,20,19,[],
Blue Bunny,1.6,5,5.7,['Trad'],150,1,,,Nevada,09-Icebox Canyon,1,2,"['5.9', '5.10', '5.9+', '5.9+', '5.9', '5.9']",
Burlesque,2.8,15,5.9,['Trad'],400,4,,II,Nevada,09-Icebox Canyon,9,6,"['5.7', '5.10', '5.9+', '5.9+', '5.9', '5.9']",
Middle Earth,2.4,15,5.9,['Trad'],600,6,,,Nevada,09-Icebox Canyon,3,4,"['5.7', '5.10', '5.9+', '5.9+', '5.9', '5.9']",
Tookish Instincts,2.0,2,5.9,['Trad'],700,8,,III,Nevada,09-Icebox Canyon,6,0,"['5.7', '5.10', '5.9+', '5.9+', '5.9', '5.9']",
Frigid Air Buttress,3.2,284,5.9+,['Trad'],800,7,,III,Nevada,09-Icebox Canyon,41,47,"['5.7', '5.9', '5.10', '5.9+', '5.9', '5.9']",
Linda's Route,2.6,10,5.9+,['Trad'],1000,8,,,Nevada,09-Icebox Canyon,5,4,"['5.7', '5.9', '5.10', '5.9+', '5.9', '5.9']",
Dear Diary,2.0,1,5.10,['Trad'],600,4,R,II,Nevada,09-Icebox Canyon,0,2,"['5.7', '5.9', '5.9+', '5.9+', '5.9', '5.9']",
One More For Jules!,1.5,2,5.6,['Trad'],320,2,,,Nevada,09-Icebox Canyon,1,0,"['5.8+', '5.10a', '5.10-', '5.8', '5.7+', '5.9']",
Hop Route,2.3,112,5.7+,['Trad'],250,3,,,Nevada,09-Icebox Canyon,4,22,"['5.8+', '5.10a', '5.10-', '5.8', '5.6', '5.9']",
Fold Out,2.6,193,5.8,['Trad'],120,1,,,Nevada,09-Icebox Canyon,15,25,"['5.8+', '5.10a', '5.10-', '5.7+', '5.6', '5.9']",
Atras,2.7,25,5.8+,['Trad'],200,2,,,Nevada,09-Icebox Canyon,3,4,"['5.10a', '5.10-', '5.8', '5.7+', '5.6', '5.9']",
Sensuous Mortician,3.1,169,5.9,['Trad'],120,1,,,Nevada,09-Icebox Canyon,10,28,"['5.8+', '5.10a', '5.10-', '5.8', '5.7+', '5.6']",
Back in Time,3.6,65,5.10a,['Trad'],120,1,,,Nevada,09-Icebox Canyon,3,13,"['5.8+', '5.10-', '5.8', '5.7+', '5.6', '5.9']",
Black Magic Panties,2.7,22,5.10-,['Trad'],120,1,R,,Nevada,09-Icebox Canyon,0,4,"['5.8+', '5.10a', '5.8', '5.7+', '5.6', '5.9']",
Shady Ladies,2.2,109,5.7,['Trad'],100,1,,,Nevada,09-Icebox Canyon,7,8,"['5.8', '5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Van Allen Belt,2.0,33,5.7,['Trad'],50,1,R,,Nevada,09-Icebox Canyon,4,8,"['5.8', '5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Adapt and Overcome,2.0,1,5.8,['Trad'],100,1,PG13,,Nevada,09-Icebox Canyon,1,1,"['5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Cold September Corner,3.2,132,5.8,['Trad'],60,1,,,Nevada,09-Icebox Canyon,5,20,"['5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Aesop’s Arete,2.3,3,5.9,['Trad'],100,1,,,Nevada,09-Icebox Canyon,3,0,"['5.8', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Magellanic Cloud,2.9,87,5.9,['Trad'],50,1,,,Nevada,09-Icebox Canyon,5,10,"['5.8', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Mister Masters,3.1,102,5.9+,['Trad'],70,1,,,Nevada,09-Icebox Canyon,3,5,"['5.8', '5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Starless and Bible Black,2.7,3,5.9+,['Trad'],100,1,,,Nevada,09-Icebox Canyon,2,1,"['5.8', '5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Blast From the Past,2.0,2,5.10-,['Trad'],115,1,,,Nevada,09-Icebox Canyon,4,1,"['5.8', '5.9', '5.10b', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Tie me Tightly,2.5,11,5.10-,['Trad'],90,1,,,Nevada,09-Icebox Canyon,0,2,"['5.8', '5.9', '5.10b', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Bad Day at Black Rocks,1.5,15,5.10b,"['Trad', 'Sport']",70,1,,,Nevada,09-Icebox Canyon,1,3,"['5.8', '5.9', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Pit Bull,2.7,10,5.10b,['Trad'],60,1,,,Nevada,09-Icebox Canyon,1,1,"['5.8', '5.9', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Whipper,2.3,9,5.10,['Trad'],70,1,,,Nevada,09-Icebox Canyon,0,2,"['5.8', '5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11']",
Mister Freeze's Face,2.0,2,5.10d,"['Trad', 'Sport']",130,1,,,Nevada,09-Icebox Canyon,1,0,"['5.8', '5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Water Dog,2.5,22,5.10d,['Trad'],60,1,,,Nevada,09-Icebox Canyon,1,4,"['5.8', '5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Mercedes,2.6,24,5.11-,['Trad'],70,1,,,Nevada,09-Icebox Canyon,2,3,"['5.8', '5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Hot August Night,3.0,1,5.11-,['Trad'],90,1,PG13,,Nevada,09-Icebox Canyon,1,0,"['5.8', '5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Meteor,2.6,8,5.11,['Trad'],150,2,,,Nevada,09-Icebox Canyon,1,0,"['5.8', '5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Whiplash,2.7,6,5.11,['Trad'],60,1,,,Nevada,09-Icebox Canyon,3,0,"['5.8', '5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Spring Break,3.8,124,5.11+,['Trad'],70,1,,,Nevada,09-Icebox Canyon,4,7,"['5.8', '5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.7', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
Gotham City,3.4,34,5.12a,['Trad'],90,1,,,Nevada,09-Icebox Canyon,0,6,"['5.8', '5.9', '5.10b', '5.10-', '5.8', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.12-', '5.10-', '5.7', '5.10d', '5.11', '5.10']",
