name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Parking Area Prow,4.0,1,V3,['Boulder'],12,1,,,California,Aeolian Buttes,3,0,[],
The Dyno,3.0,1,V7,['Boulder'],15,1,,,California,Bachar Boulders,1,0,[],
Problem A,1.0,1,V0-,['Boulder'],12,1,,,California,W Valley,1,0,"['V0-', 'V1']",
Problem I,2.0,1,V3,['Boulder'],15,1,,,California,Horseshoe Lake,1,0,"['V0-', 'V0-', 'V0-', 'V0', 'V0', 'V2', 'V2', 'V1', 'V4+', 'V3', 'V1', 'V0+', 'V-easy', 'V2', 'V2', 'V2+', 'V1', 'V1+', 'V1']",
Problem P,1.7,3,V1,['Boulder'],12,1,,,California,Horseshoe Lake,1,0,"['V0-', 'V0-', 'V0-', 'V0', 'V0', 'V2', 'V2', 'V4+', 'V3', 'V3', 'V1', 'V0+', 'V-easy', 'V2', 'V2', 'V2+', 'V1', 'V1+', 'V1']",
Problem Q,2.7,7,V2,['Boulder'],10,1,,,California,Ravine,2,0,"['V0', 'V0-', 'V0-', 'V-easy', 'V0-', 'V0', 'V1+', 'V0', 'V0-', 'V-easy', 'V-easy', 'V0-', 'V1', 'V0-', 'V0', 'V-easy', 'V-easy', 'V2', 'V0', 'V1', 'V0-', 'V2', 'V0', 'V-easy', 'V0-']",
Problem L,1.0,3,V-easy,['Boulder'],10,1,,,California,Horseshoe Lake,1,0,"['V0-', 'V0-', 'V0-', 'V0', 'V0', 'V2', 'V2', 'V1', 'V4+', 'V3', 'V3', 'V1', 'V0+', 'V2', 'V2', 'V2+', 'V1', 'V1+', 'V1']",
Problem D,1.3,3,V3,['Boulder'],8,1,,,California,Alcove Area,2,0,"['V5+', 'V0+', 'V2', 'V2', 'V3', 'V0+', 'V0-', 'V2']",
Problem O,1.7,3,V1+,['Boulder'],10,1,,,California,Horseshoe Lake,2,0,"['V0-', 'V0-', 'V0-', 'V0', 'V0', 'V2', 'V2', 'V1', 'V4+', 'V3', 'V3', 'V1', 'V0+', 'V-easy', 'V2', 'V2', 'V2+', 'V1', 'V1']",
Problem B,1.0,1,V0-,['Boulder'],12,1,,,California,W Valley,1,0,"['V0-', 'V1']",
Problem C,2.0,1,V1,['Boulder'],12,1,,,California,W Valley,1,0,"['V0-', 'V0-']",
Problem K,1.0,3,V0+,['Boulder'],12,1,,,California,Horseshoe Lake,1,0,"['V0-', 'V0-', 'V0-', 'V0', 'V0', 'V2', 'V2', 'V1', 'V4+', 'V3', 'V3', 'V1', 'V-easy', 'V2', 'V2', 'V2+', 'V1', 'V1+', 'V1']",
Problem M,1.8,4,V2,['Boulder'],10,1,,,California,Horseshoe Lake,1,0,"['V0-', 'V0-', 'V0-', 'V0', 'V0', 'V2', 'V1', 'V4+', 'V3', 'V3', 'V1', 'V0+', 'V-easy', 'V2', 'V2', 'V2+', 'V1', 'V1+', 'V1']",
Problem G,1.0,1,V0+,['Boulder'],15,1,,,California,T J Slabs,2,0,"['V-easy', 'V2', 'V0', 'V5', 'V0', 'V4', 'V1']",
Problem J,2.9,7,V1,['Boulder'],12,1,,,California,Horseshoe Lake,1,0,"['V0-', 'V0-', 'V0-', 'V0', 'V0', 'V2', 'V2', 'V4+', 'V3', 'V3', 'V1', 'V0+', 'V-easy', 'V2', 'V2', 'V2+', 'V1', 'V1+', 'V1']",
Problem N,1.8,5,V1,['Boulder'],10,1,,,California,Horseshoe Lake,1,0,"['V0-', 'V0-', 'V0-', 'V0', 'V0', 'V2', 'V2', 'V4+', 'V3', 'V3', 'V1', 'V0+', 'V-easy', 'V2', 'V2', 'V2+', 'V1', 'V1+', 'V1']",
