,name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade,popularity,combined_difficulty,difficulty_sport_trad,number_near_grades,diff_nearby_grades,safety_numerical,commitment_numerical,aid_numerical
2,White Tigers,2.1,14,5.10b,['Sport'],80.0,1,PG13,,Nevada,03-First Pullou…,1,1,"['5.10c', '5.9', '5.10a', '5.9']",,2.1129902429691985,2,8.0,4,0.25,1.0,1,
18,Left Wing Route - AKA The Democrat,1.7,3,5.6,['Sport'],70.0,1,,,California,T J Lake,0,2,"['5.9', '5.8', '5.7', '5.10b', '5.10a', '5.8', '5.7', '5.7']",,1.8487134111344927,1,3.0,8,1.0,,1,
19,Crab On A Slab,2.4,36,5.8,['Sport'],50.0,1,,V,Nevada,03-First Pullou…,0,6,"['5.6', '5.7', '5.7', '5.5', '5.5', '5.7', '5.6', '5.9+', '5.7', '5.8', '5.7', '5.8', '5.10a', '5.5']",,2.3971582066091344,2,5.0,14,0.3571428571428572,,5,
23,Dudes Squeezin Chicks,2.5,4,5.11b,['Sport'],100.0,1,,,California,Bear Crag,0,0,"['5.11d', '5.12b', '5.11a', '5.11d', '5.11b', '5.12b', '5.12c', '5.11b', '5.12b', '5.11c', '5.12a']",,2.4589707289075946,4,12.0,11,1.2727272727272725,,1,
32,Streak on the Slab,2.4,38,5.10a,['Sport'],50.0,1,,,Nevada,03-First Pullou…,1,3,"['5.6', '5.7', '5.8', '5.7', '5.5', '5.5', '5.7', '5.6', '5.9+', '5.7', '5.8', '5.7', '5.8', '5.5']",,2.3973039396035376,2,7.0,14,0.3571428571428572,,1,
44,Guildenstern,1.9,18,5.5,['Sport'],90.0,1,,,Nevada,03-First Pullou…,2,3,"['5.7+', '5.8', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",,1.9207817707651562,1,2.0,20,0.7,,1,
47,Keep Your Powder Dry,3.5,85,5.12b,['Sport'],90.0,1,,,Nevada,05-Sandstone Qu…,9,5,"['5.12d', '5.12a/b', '5.12a', '5.12+', '5.13a', '5.12b/c', '5.12d', '5.13a', '5.12b', '5.13a']",,3.485986670285325,6,16.0,10,0.9000000000000004,,1,
49,I am the Walrus,1.3,6,5.7,['Sport'],30.0,1,,,Nevada,05-Sandstone Qu…,1,2,"['5.9', '5.11c', '5.12b', '5.12a', '5.10d']",,1.4421219492197102,2,4.0,5,2.4000000000000004,,1,
53,The Tribe,2.1,10,5.10d,['Sport'],90.0,1,,,California,Mammoth Lakes Area,0,2,"['5.11a', '5.10a', '5.11a', '5.9+', '5.12a', '5.11b', '5.10a']",,2.1177139676852703,3,10.0,7,0.4285714285714284,,1,
56,The Brazilian Dazzler,3.0,5,5.11c,['Sport'],90.0,1,,,California,June Lake Area,3,1,"['5.11a', '5.11+', '5.8', '5.11a']",,2.8824756074229954,5,13.0,4,1.25,,1,
