,name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade,popularity,combined_difficulty,difficulty_sport_trad,number_near_grades,diff_nearby_grades,safety_numerical,commitment_numerical,aid_numerical
13,Through Bein' Cool,2.5,2,5.10c,['Trad'],85.0,1,,,California,Lower Merced Ri…,0,1,"['5.9', '5.12a', '5.12b']",,2.431617881512657,3,9.0,3,1.666666666666667,,1,
14,The Itsy Bitsy Spider,3.0,1,5.10,['Trad'],400.0,3,,II,Nevada,10-Pine Creek C…,2,0,"['5.8+', '5.7', '5.8', '5.8', '5.8', '5.5', '5.9', '5.8', '5.7', '5.9', '5.8', '5.11-', '5.9', '5.8', '5.10c', '5.9', '5.9', '5.9', '5.8', '5.9', '5.7', '5.9', '5.5']",,2.6474268222689856,3,7.0,23,0.9565217391304346,,2,
25,Crooked Crack,1.0,1,5.8,['Trad'],50.0,1,,,California,Crooked Creek,1,0,['5.9'],,1.6474268222689858,2,5.0,1,0.0,,1,
33,Holey Gully,3.1,11,5.8+,['Trad'],70.0,1,,,California,p. Reed's Pinna…,4,0,"['5.11d', '5.10c', '5.10a', '5.12a', '5.10a', '5.10b', '5.10d', '5.9+', '5.7', '5.8', '5.10c', '5.10b', '5.8', '5.11d', '5.8', '5.12a', '5.10d', '5.11a']",,3.0329044703781642,2,5.0,18,1.1111111111111112,,1,
39,Alimony Cracks,2.5,108,5.8,['Trad'],100.0,1,,,California,Daff Dome,9,7,"['5.10c', '5.7', '5.10a', '5.10a', '5.8', '5.8', '5.5', '5.7', '5.10+', '5.11a', '5.10c', '5.11c']",,2.498117923344385,2,5.0,12,0.5833333333333335,,1,
41,Hot Tub Honey,1.4,17,5.8,['Trad'],40.0,1,,,California,Hodgepodge Rock,3,7,"['5.4', '5.7', '5.9', '5.12a']",,1.4497140913632207,2,5.0,4,0.75,,1,
54,His & Hers,1.0,1,5.9,['Trad'],40.0,1,,,California,Rush,1,0,"['5.11a', '5.10d', '5.11c', '5.11b']",,1.6474268222689858,2,6.0,4,2.0,,1,
59,Route In Exile,1.0,1,5.8,['Trad'],300.0,3,,,California,Little Egypt,0,0,"['5.10b', '5.10c', '5.11b', '5.11d', '5.10', '5.10c', '5.9']",,1.6474268222689858,2,5.0,7,1.1428571428571428,,1,
62,Forces of Nature,2.9,11,5.10d,['Trad'],115.0,1,,,California,Patricia Bowl,0,0,"['5.12a', '5.10a', '5.10c', '5.10b', '5.11a', '5.10b', '5.12b', '5.12c', '5.8', '5.10a', '5.9', '5.11b', '5.11a', '5.11b', '5.10d', '5.11a']",,2.8495711370448307,3,10.0,16,0.5625,,1,
64,Climb Machine,2.0,2,5.9,['Trad'],40.0,1,,,Nevada,03-First Pullou…,0,0,"['5.11d', '5.11b', '5.11d', '5.11a', '5.11a', '5.11b']",,2.0982845481793237,2,6.0,6,2.333333333333333,,1,
70,America's Cup,3.8,10,5.12b,['Trad'],200.0,2,PG13,,California,h. Cookie Area,1,1,"['5.11b', '5.10b', '5.10a', '5.11c', '5.11a', '5.10d', '5.11a', '5.10d', '5.12b', '5.9', '5.10a', '5.12a', '5.9', '5.9', '5.11c', 'V0+', '5.8', '5.11b', '5.9', '5.11b', '5.11a', '5.10c', '5.10c', '5.11', '5.11+', '5.13b/c', '5.12b', '5.10+', '5.9', '5.11', '5.10b', '5.10d', '5.11a', '5.10c']",,3.6631685131398153,6,16.0,34,2.411764705882353,1.0,1,
72,"G-Man Extension (not Book'em, Dano)",3.0,12,5.10d,['Trad'],80.0,1,,,California,k. Cascade Area,0,5,"['5.10b', '5.10a', '5.11', '5.10b', '5.12a', '5.10b', '5.12c', '5.11d', '5.10b', '5.11b', '5.10d', '5.11a', '5.7', '5.10a', '5.11b', '5.9', '5.10a', '5.10b', '5.10', '5.8+', '5.8+', '5.10-', '5.11b', '5.8', '5.7', '5.10d', '5.10c', '5.12', '5.12a', '5.10c', '5.10d', '5.9', '5.10b', '5.10b', '5.11a', '5.12a', '5.8']",,2.945757972656767,3,10.0,37,0.18918918918918903,,1,
73,Alamo,1.5,2,5.11a,['Trad'],100.0,1,,,California,k. Cascade Area,0,1,"['5.10c', '5.12b', '5.10c', '5.10d', '5.10b', '5.10-', '5.9', '5.8', '5.11c']",,1.7649512148459905,4,11.0,9,0.8888888888888888,,1,
78,Mustang Cracks,3.5,12,5.10d,['Trad'],330.0,4,,,Nevada,16-Black Velvet…,5,1,"['5.10+', '5.11a', '5.11d', '5.12a', '5.12-']",,3.4072964341952288,3,10.0,5,1.7999999999999998,,1,
81,Hodgepodge,1.8,24,5.4,['Trad'],40.0,1,R,,California,Hodgepodge Rock,1,5,"['5.8', '5.7', '5.9', '5.12a']",,1.8197941457815188,1,1.0,4,2.0,2.0,1,
84,The Walker Spur,3.2,56,5.10b/c,['Trad'],550.0,3,R,II,Nevada,Mescalito,14,15,"['5.9', '5.10+', '5.8', '5.10a', '5.7', '5.8-', '5.9', '5.7', '5.10c', '5.7+', '5.10a', '5.10a', '5.9', '5.10a', '5.7', '5.10b/c', '5.9+', '5.12', '5.8', '5.10a']",,3.184120239377859,2,8.0,20,0.3500000000000001,2.0,2,
92,High Wire,2.3,7,5.10-,['Trad'],90.0,1,PG13,,Nevada,03-First Pullou…,2,2,"['5.10c', '5.11c', '5.12a', '5.12a', '5.11a', '5.10-', '5.10-', '5.11c', '5.12b', '5.12a/b', '5.12a', '5.10a', '5.11c', '5.9+']",,2.2993567055672464,2,7.0,14,2.2857142857142856,1.0,1,
96,Isostacy,2.9,56,5.8,['Trad'],470.0,4,PG13,,California,Tuolumne Meadows,2,10,"['5.11a', '5.8', '5.7', '5.8', '5.10a', '5.9', '5.10a', '5.7', '5.7', '5.9', '5.6', '5.8', '5.10a', '5.10b', '5.10a', '5.7', '5.7', '5.8', '5.10a/b', '5.10c', '5.8', '5.10a']",,2.8893833972725957,2,5.0,22,0.09090909090909083,1.0,1,
100,Big Boys Don't Cry,2.2,5,5.10c,['Trad'],400.0,5,R,II,California,Lembert Dome,2,2,"['5.10a', '5.10b/c', '5.10a', '5.10-', '5.6', '5.11b']",,2.215808940756329,3,9.0,6,0.8333333333333335,2.0,2,
103,Kiddie Corner,2.7,44,5.10a,['Trad'],110.0,1,,,California,k. Cascade Area,1,8,"['5.10b', '5.11', '5.10b', '5.10d', '5.12a', '5.10b', '5.12c', '5.11d', '5.10b', '5.11b', '5.10d', '5.11a', '5.7', '5.10a', '5.11b', '5.9', '5.10a', '5.10b', '5.10', '5.8+', '5.8+', '5.10-', '5.11b', '5.8', '5.7', '5.10d', '5.10c', '5.12', '5.12a', '5.10c', '5.10d', '5.9', '5.10b', '5.10b', '5.11a', '5.12a', '5.8']",,2.6909967476563996,2,7.0,37,1.2162162162162162,,1,
118,Blacksmith,2.0,12,5.8,['Trad'],40.0,1,R,,California,Horseshoe Lake…,1,1,"['5.8', '5.6', '5.7', '5.10a', '5.6', '5.8', '5.9-', '5.8', '5.9', '5.8', '5.4', '5.7', '5.7', '5.7', '5.8']",,2.022681049579844,2,5.0,15,0.19999999999999996,2.0,1,
120,Bearded Clam,3.2,11,5.11a,['Trad'],100.0,1,,,California,Daff Dome,2,3,"['5.9', '5.10c', '5.12+', '5.11a', '5.10a', '5.12b', '5.10a', '5.7', '5.9', '5.10a', '5.8+', '5.8', '5.9', '5.8', '5.9']",,3.124571137044831,4,11.0,15,1.2000000000000002,,1,
121,Pluton Splendor,1.0,1,5.8+,['Trad'],50.0,1,,,California,Rattlesnake Canyon,2,0,"['5.9', '5.7', '5.7+', '5.9', '5.9', '5.10a/b', '5.10a', '5.10a', '5.8+', '5.8', '5.10a', '5.7', '5.7+']",,1.6474268222689858,2,5.0,13,0.0,,1,
125,Texas Tower Direct,3.6,14,5.12d,['Trad'],500.0,6,,,Nevada,16-Black Velvet…,4,7,"['5.12a', '5.10', '5.9', '5.11', '5.11', '5.13a', '5.10d', '5.11c', '5.10d', '5.11b', '5.12+', '5.12a', '5.9', '5.12b/c']",,3.5129902429691984,7,15.0,14,2.3571428571428568,,1,
126,The Vertical Gardener,2.0,2,5.10-,['Trad'],80.0,1,,,California,Rock Creek,1,0,"['5.9+', '5.9', '5.10c', '5.10c', '5.10b', '5.10b', '5.10', '5.4', '5.10b', '5.11d', '5.9', '5.10b', '5.9', '5.11a/b', '5.10b', '5.10a']",,2.0982845481793237,2,7.0,16,0.4375,,1,
128,Open-and-Shut,2.5,4,5.10d,['Trad'],50.0,1,,,Nevada,Whiskey Peak,2,0,"['5.10a/b', '5.11a', '5.8+', '5.8', '5.8', '5.9+', '5.11b', '5.11b', '5.11b', '5.8', '5.12a', '5.11c', '5.12a', '5.10d', '5.10b', '5.9', '5.11b/c', '5.10d', '5.10c/d', '5.10d', '5.9', '5.10a', '5.10', '5.10-', '5.10-', '5.11', '5.10', '5.10b']",,2.4589707289075946,3,10.0,28,0.07142857142857162,,1,
132,Hairline,3.0,1,5.11b,['Trad'],150.0,1,,,California,u. Elephant Rock,0,1,"['5.10a', '5.10a', '5.10d', '5.12', '5.11b', '5.12b', '5.10a', '5.12a', '5.10a', '5.9', '5.9', '5.10c', '5.9', '5.9']",,2.6474268222689856,4,12.0,14,0.7857142857142856,,1,
133,589 (Per Clint Cummins Guide Book) Unknown (Per Sloan Guide Book),2.0,1,5.9-,['Trad'],50.0,1,,,California,p. Reed's Pinna…,9,9,"['5.11c', '5.10+', '5.11c', '5.10c', '5.9', '5.8', '5.11a', '5.10a', '5.7', '5.10d', '5.8', '5.8', '5.9', '5.12b', '5.10d', '5.10b', '5.4', '5.10c', '5.10d', '5.10d', '5.11c', '5.13-', '5.10a', '5.10a', '5.9', '5.10a', '5.12a', '5.10b', '5.7', '5.11c', '5.10', '5.11b', '5.10d', '5.9', '5.10b', '5.10b', '5.9']",,2.1474268222689856,2,6.0,37,1.0270270270270272,,1,
134,Vamoose,2.0,1,5.9,['Trad'],100.0,1,,,California,Rock Creek,1,0,"['5.11a', '5.11a', '5.8', '5.11c', '5.10a', '5.8']",,2.1474268222689856,2,6.0,6,1.1666666666666665,,1,
136,Classic Crack,2.8,36,5.10a,['Trad'],70.0,1,,,California,Little Egypt,4,5,"['5.10a', '5.6', '5.11', '5.11+', '5.9']",,2.7863473957983236,2,7.0,5,1.0,,1,
139,Finders Keepers,2.8,5,5.6,['Trad'],195.0,1,PG13,,California,Mariuolumne Dome,1,2,"['5.8', '5.10b', '5.7', '5.10a/b', '5.9', '5.8', '5.7', '5.8', '5.7', '5.9', '5.10', '5.10d', '5.10a']",,2.715808940756329,1,3.0,13,1.1538461538461537,1.0,1,
143,Gang Grain,1.0,1,5.8,['Trad'],40.0,1,,,California,Group Campsite 8,0,0,"['5.6', '5.6', '5.7', '5.7', '5.3', '5.8', '5.10a', '5.6', '5.4', '5.8']",,1.6474268222689858,2,5.0,10,0.5,,1,
145,500 Dollars Worth,3.0,2,5.11b,['Trad'],45.0,1,,,California,Patricia Bowl,1,0,"['5.9', '5.10b', '5.10d', '5.10a']",,2.7649512148459907,4,12.0,4,1.75,,1,
156,Eagle Dihedral,2.5,2,5.7,['Trad'],500.0,4,PG13,II,California,Tuolumne Meadows,0,0,"['5.9', '5.7', '5.8-', '5.10a', '5.10a', '5.7', '5.10a', '5.4']",,2.431617881512657,2,4.0,8,0.125,1.0,2,
159,Leanie Meanie,3.6,54,5.11b,['Trad'],350.0,3,,,California,d. Entrance Sta…,1,9,"['5.9+', '5.10d', '5.10d', '5.11a', '5.9', '5.10c', '5.9', '5.12a', '5.10b', '5.9+', '5.11b', '5.12a', '5.10b', '5.11a', '5.12b/c', '5.11a', '5.10c', '5.11c', '5.11d']",,3.576270066264327,4,12.0,19,0.42105263157894735,,1,
160,Tarantula,2.8,14,5.12-,['Trad'],75.0,1,,,Nevada,09-Icebox Canyon,3,2,"['5.8', '5.9', '5.10b', '5.10-', '5.8', '5.12a', '5.11-', '5.9', '5.11-', '5.11', '5.10d', '5.9+', '5.10b', '5.7', '5.11+', '5.9+', '5.10-', '5.7', '5.10d', '5.11', '5.10']",,2.7663235763025313,6,15.0,21,3.0476190476190474,,1,
163,The Bin,3.0,2,5.10d,['Trad'],130.0,1,,,California,d. Entrance Sta…,4,1,"['5.11b', '5.9+', '5.10d', '5.11a', '5.9', '5.10c', '5.9', '5.12a', '5.10b', '5.9+', '5.11b', '5.12a', '5.10b', '5.11a', '5.12b/c', '5.11a', '5.10c', '5.11c', '5.11d']",,2.7649512148459907,3,10.0,19,0.6315789473684212,,1,
168,Stoned Wheat Thin,1.8,5,5.10a,['Trad'],100.0,1,,,California,Main Island,1,1,"['5.10b', '5.10d', '5.12a', '5.10b/c', '5.10b', '5.10a', '5.10c', '5.10d', '5.11a']",,1.8824756074229954,2,7.0,9,1.0,,1,
175,Go Greyhound,2.8,15,5.11-,['Trad'],160.0,1,PG13,,Nevada,10-Pine Creek C…,0,9,"['5.11b/c', '5.4', '5.8+', '5.7', '5.7+', '5.10', '5.10', '5.8-', '5.10a', '5.10c', '5.10d', '5.11a/b', '5.6', '5.9', '5.5', '5.10c', '5.10c', '5.10a', '5.8', '5.10a', '5.7', '5.10b', '5.10c', '5.7', '5.12a', '5.10-', '5.11a', '5.10-', '5.11b', '5.6', '5.11b', '5.8', '5.9', '5.8-', '5.8+', '5.5']",,2.7684283527836233,4,11.0,36,1.5555555555555554,1.0,1,
178,Hysteria,2.0,2,5.11+,['Trad'],125.0,1,PG13,,California,Mariuolumne Dome,0,0,"['5.10d', '5.11c', '5.10a', '5.10+', '5.8']",,2.0982845481793237,5,11.0,5,2.0,1.0,1,
179,Refried Brains,3.0,107,5.9,['Trad'],800.0,4,,II,Nevada,16-Black Velvet…,20,22,"['5.10', '5.11c', '5.10a', '5.10+', '5.10', '5.10-', '5.10c', '5.9+', '5.9', '5.11d', '5.10b', '5.10a', '5.10c', '5.9', '5.10b', '5.11a', '5.10d', '5.10a', '5.11a', '5.10b', '5.10+', '5.11a', '5.10b']",,2.9934708670790555,2,6.0,23,0.8260869565217392,,2,
182,Geekin' Hard,1.5,2,5.10d,['Trad'],80.0,1,,,California,W Cottage Dome,0,0,"['5.10a/b', '5.11a']",,1.7649512148459905,3,10.0,2,0.0,,1,
185,Cooty Trois,3.5,6,5.12a,['Trad'],85.0,1,,,California,Lower Merced Ri…,1,0,"['5.12a', '5.10d', '5.11c', '5.13a']",,3.327836234933996,6,15.0,4,0.5,,1,
186,Stem Christy,2.6,12,5.10b,['Trad'],30.0,1,,,California,Main Island,0,1,"['5.10a', '5.10a', '5.6', '5.11d', '5.8', '5.11d']",,2.5765272034259983,2,8.0,6,0.8333333333333335,,1,
188,Cheesecake,1.8,12,5.5,['Trad'],90.0,1,PG13,,California,Cottage Domes,1,0,"['Easy 5th', '5.7', '5.8', '5.6', '5.8']",,1.8380656649644596,1,2.0,6,0.5,1.0,1,
189,Parental Guidance,3.8,21,5.12a,['Trad'],200.0,2,R,,Nevada,Mescalito,4,6,"['5.8+', '5.8', '5.8', '5.10b/c', '5.11b', '5.10a', '5.11', '5.10c', '5.9', '5.10c', '5.10c', '5.11b', '5.10']",,3.7315842565699078,6,15.0,13,3.1538461538461537,2.0,1,
207,Evil Empire,2.7,20,5.11a,['Trad'],30.0,1,,,Nevada,03-First Pullou…,2,9,"['5.8', '5.10b', '5.10d', '5.6', '5.10b', '5.8-', '5.6', '5.9+', '5.7', '5.7', '5.9+', '5.10a', '5.8', '5.7', '5.4', '5.9', '5.7', '5.9+']",,2.6807073164065702,4,11.0,18,2.111111111111111,,1,
