name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Far West,1.0,1,5.6,"['Trad', 'Alpine']",300,2,R,,California,Tuolumne Meadows,0,0,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Great White Book,3.2,178,5.6,"['Trad', 'Alpine']",450,5,R,,California,Tuolumne Meadows,24,18,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Mosquito,1.5,2,5.7,"['Trad', 'Alpine']",200,2,X,,California,Tuolumne Meadows,0,0,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
West Country,3.0,341,5.7,"['Trad', 'Alpine']",400,4,,,California,Tuolumne Meadows,21,17,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Hermaphrodite Flake,2.9,217,5.7,"['Trad', 'Alpine']",400,4,,,California,Tuolumne Meadows,6,18,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
White Flake,2.7,11,5.7,"['Trad', 'Alpine']",460,1,R,,California,Tuolumne Meadows,3,3,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Eunuch,2.8,11,5.7,"['Trad', 'Alpine']",250,3,R,,California,Tuolumne Meadows,0,0,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Kamps-Couch,1.0,1,5.7,"['Trad', 'Alpine']",350,2,,,California,Tuolumne Meadows,0,0,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Shadow Nose,2.0,5,5.7,"['Trad', 'Alpine']",400,4,,,California,Tuolumne Meadows,0,1,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
The Boltway,2.7,130,5.8,"['Trad', 'Alpine']",300,2,,,California,Tuolumne Meadows,9,8,"['5.11c', '5.10c', '5.11a', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
